film_title,person_name,role,credit_order,added_at,removed_at,survival_hours,outcome
Sisters,Leon Martínez,cast,2,2026-08-31T09:02:20.703922+00:00,,,attached
Noise of Time,Aleksandr Mindadze,writer,,2026-08-31T09:03:30.522090+00:00,,,attached
Noise of Time,Alexander Terekhov,writer,,2026-08-31T09:03:30.522090+00:00,,,attached
Other People,Tohn,cast,2,2026-08-31T09:12:05.228389+00:00,,,attached
The Old Dog,Li Taige,director,,2026-08-31T09:12:15.233712+00:00,,,attached
Divorce à l'italienne,Philippe Katerine,cast,0,2026-08-31T09:15:23.492865+00:00,,,attached
Divorce à l'italienne,Sophie Letourneur,cast,1,2026-08-31T09:15:23.492865+00:00,,,attached
Badass,Sophie Letourneur,writer,,2026-08-31T09:17:10.787126+00:00,,,attached
"Little Mary, Always a Virgin",Sebastian Stankiewicz,cast,3,2026-08-31T09:17:36.745064+00:00,,,attached
"Little Mary, Always a Virgin",Marta Nieradkiewicz,cast,1,2026-08-31T09:17:36.745064+00:00,,,attached
"Little Mary, Always a Virgin",Krzysztof Zalewski,cast,2,2026-08-31T09:17:36.745064+00:00,,,attached
"Little Mary, Always a Virgin",Antonina Litwiniak,cast,0,2026-08-31T09:17:36.745064+00:00,,,attached
Satan's Slaves 3: Origin,Raffa Nazriel Alkhalifi,cast,2,2026-08-31T09:24:53.290112+00:00,,,attached
Race Reboot,Aamir Khan,cast,0,2026-08-31T09:25:17.203186+00:00,,,attached
Race Reboot,Tiger Shroff,cast,1,2026-08-31T09:25:17.203186+00:00,,,attached
Medalist Movie,Jukki Hanada,writer,,2026-08-31T09:28:10.388517+00:00,,,attached
Medalist Movie,Yuma Uchida,cast,3,2026-08-31T09:28:10.388517+00:00,,,attached
Medalist Movie,Yasutaka Yamamoto,director,,2026-08-31T09:28:10.388517+00:00,,,attached
Harga Teman,Kevin Jones,cast,4,2026-08-31T09:29:00.679783+00:00,,,attached
Tommy Karate,Joseph Gay,writer,,2026-08-31T09:32:06.658094+00:00,,,attached
LeapFrog,Ashley Bell,cast,2,2026-08-31T09:38:20.368385+00:00,,,attached
LeapFrog,Malcolm Barrett,cast,1,2026-08-31T09:38:20.368385+00:00,,,attached
