film_title,person_name,role,credit_order,added_at,removed_at,survival_hours,outcome
Suanggi: Ilmu Kutukan,Eugenia Yauwalata,cast,2,2026-08-17T09:04:50.673652+00:00,,,attached
Back To Buenos Aires,Marco Bechis,writer,,2026-08-17T09:04:57.169703+00:00,,,attached
Back To Buenos Aires,Vijaya Bechis Boll,writer,,2026-08-17T09:04:57.169703+00:00,,,attached
Bapak Paling Jujur,Rino Sarjono,writer,,2026-08-17T09:04:59.813243+00:00,,,attached
Jalsa,Devadarshini,cast,2,2026-08-17T09:05:54.826362+00:00,,,attached
Jalsa,Chetan,cast,3,2026-08-17T09:05:54.826362+00:00,,,attached
Jalsa,Yogi Babu,cast,4,2026-08-17T09:05:54.826362+00:00,,,attached
The Twelve Dates of Christmas,Demetrius Shipp Jr.,cast,4,2026-08-17T09:07:25.435212+00:00,,,attached
The Twelve Dates of Christmas,Kahyun Kim,cast,3,2026-08-17T09:07:25.435212+00:00,,,attached
Untitle Tintin movie,Peter Jackson,director,,2026-08-17T09:08:07.516200+00:00,,,attached
